raceId,office,district,state,year,externalRaceId
96,S,00,AK,2022    ,8918
90,S,00,AZ,2022    ,8919
82,S,00,CO,2022    ,8922
17,S,00,FL,2022    ,8924
70,S,00,GA,2022    ,8925
40,S,00,MO,2022    ,8936
35,S,00,NH,2022    ,8938
32,S,00,OH,2022    ,8942
6,S,00,PA,2022    ,8945
55,S,00,WA,2022    ,8950
26,S,00,WI,2022    ,8951
7,S,00,AK,2020    ,6265
1,S,00,AL,2020    ,6266
74,S,00,AR,2020    ,6267
10,S,00,AZ,2020    ,6268
16,S,00,CO,2020    ,6269
75,S,00,DE,2020    ,6270
45,S,00,GA,2020    ,8737
48,S,00,IA,2020    ,6272
92,S,00,ID,2020    ,6273
39,S,00,IL,2020    ,6274
36,S,00,KS,2020    ,6275
34,S,00,KY,2020    ,6276
46,S,00,LA,2020    ,7787
73,S,00,ME,2020    ,6279
106,S,00,MI,2020    ,6280
71,S,00,MN,2020    ,6281
25,S,00,MS,2020    ,6282
27,S,00,MT,2020    ,6283
20,S,00,NC,2020    ,6284
21,S,00,NE,2020    ,6285
33,S,00,NH,2020    ,6286
42,S,00,NJ,2020    ,6286
58,S,00,NM,2020    ,6288
4,S,00,OK,2020    ,6289
110,S,00,OR,2020    ,6290
62,S,00,SC,2020    ,6292
2,S,00,SD,2020    ,6293
41,S,00,TN,2020    ,6294
14,S,00,TX,2020    ,6295
8,S,00,VA,2020    ,6296
47,S,00,WV,2020    ,6297
31,S,00,WY,2020    ,6298
